02395479,93026,390254,244,6;[65191.450000000004, 1028, 0.8709083378714698, 0.9968533595530525, 134.24821698495464, 0.9700218691567118, 1.0040406384841802]
02395479,93026,390254,244,7;[53589.78, 954, 0.8824893229598282, 1.0366637919140365, 136.6918730194467, 0.9810004468636022, 9999]
02395479,93026,390254,245,4;[60813, 1228, 0.8848590889420588, 1.0618178787184884, 98.51460243232307, 0.9858181191397265, 0.9990553716496496]
02395479,93026,390254,246,5;[57600.759999999995, 1008, 0.8819090785465583, 0.9653013031408355, 124.37958727055477, 0.9730639656543615, 1.0029422734242261]
02395479,93026,390254,247,5;[67793.11, 1126, 0.8738024017412925, 1.0031371121400203, 158.36760657981145, 0.972746494817087, 0.9995438196333012]
02395479,93026,390254,249,4;[54762, 1098, 0.8790224959273167, 0.9741739250774418, 97.60528601930226, 0.9787544792396521, 0.9994524748138415]
02395479,93026,390254,249,7;[59630.22, 964, 0.8740165835513788, 0.9914931873980805, 153.93946254013395, 0.9716645950313663, 0.9962042303022557]
02395479,93026,390254,250,6;[66738.18000000001, 994, 0.8760109531186221, 0.9568748425455696, 150.32804097127698, 0.9615674733834363, 1.0055942034968932]
02395479,93028,390276,377,4;[55393, 1210, 0.8726116262390542, 1.007089119313779, 128.44790008501758, 0.9808255675254683, 1.0016907928643115]
02395479,93028,390276,378,5;[66980.34, 1060, 0.8746905782699864, 0.9744226619817988, 107.51595053428476, 0.9694235452458729, 1.0075811143432536]
02395479,93028,390276,378,6;[62518.58, 1062, 0.8650360485951685, 1.030573862092566, 154.73258691666703, 0.9717261840139974, 9999]
02395479,93028,390276,378,7;[62674.92, 942, 0.8805783201930734, 0.9976067546954979, 196.47853106659443, 0.9745627602698271, 1.0048816386606156]
02395479,93028,390276,380,6;[61617.12, 958, 0.8709660531896558, 0.9554211809922297, 102.08530228171266, 0.9763046716865055, 9999]
02395479,93028,390276,381,4;[66595, 1270, 0.880750617631133, 1.0542697950763147, 126.17746034044856, 0.982642761453325, 0.9740454442404873]
02395479,93028,390276,381,7;[55952.1, 864, 0.8853494205525767, 0.9897395781254016, 157.1745823805248, 0.9691598224537702, 1.0101512326496789]
02395479,93028,390276,382,5;[56357.21, 1030, 0.877134675823871, 1.0178726765866428, 116.24044486379384, 0.9723521726285964, 0.9982399747062233]
02395479,93048,390341,716,4;[57000, 1114, 0.8778924714044257, 0.9810848854734056, 97.35929986607918, 0.9790814080117551, 1.0010273701957273]
02395479,93048,390341,716,7;[52843.14, 916, 0.8853823640661703, 0.9707407123185322, 129.12860615950936, 0.9792606460095532, 0.9992766831582907]
02395479,93048,390341,717,5;[64590.82, 1028, 0.8704562037234743, 0.9575394416668523, 113.74211323387826, 0.974792368223562, 1.0077327961530964]
02395479,93048,390341,717,6;[53671.12, 932, 0.8774484643128269, 0.9881579920564307, 102.41833540300716, 0.9796907356080262, 1.0013291074532256]
02395479,93051,390364,910,5;[57262.799999999996, 1116, 0.8765359005778308, 1.044702317917332, 120.13965319376521, 0.9787713727760734, 0.995304775890955]
02395479,93051,390364,910,7;[57554.01, 872, 0.8837431397909693, 0.9880888953321953, 230.4837458476871, 0.9663802000051456, 1.0085392173948013]
02395479,93051,390364,911,4;[62754, 1230, 0.8828117641647264, 1.0406838187932153, 141.8720800571055, 0.9839048219748201, 1.0009171165854553]
02395479,93051,390364,913,6;[60969.11000000001, 968, 0.8751973369182251, 0.9939979663882866, 207.27481425606354, 0.9659778707290094, 1.001507786479431]
02395479,93057,390392,624,4;[58423, 1104, 0.8757827276036075, 1.0012482581234992, 105.93204389254319, 0.9783499498083434, 1.0047811505718462]
02395479,93057,390392,624,7;[56920.590000000004, 910, 0.8892941466509351, 1.0028374653620247, 151.06041639842582, 0.9784973385501009, 0.9997850098089275]
02395479,93057,390392,625,6;[56300.15, 1060, 0.8742884034250943, 1.065817359463098, 147.09721146993144, 0.9766674148879193, 9999]
02395479,93057,390392,626,5;[67904.97, 1052, 0.8730776576787869, 0.9540310056774728, 149.41019037172515, 0.9632575828608186, 1.006757233592096]
02395479,93057,390392,627,5;[61334.979999999996, 1030, 0.8683184863289328, 0.9931491945592332, 109.54165952187608, 0.9699791037450266, 1.004932831601318]
02395479,93057,390392,627,6;[61529.44, 960, 0.8729188794748732, 0.9822336508330695, 224.32809874113147, 0.9634914840815814, 1.005012531328321]
02395479,93057,390392,629,4;[59735, 1168, 0.8790922463581212, 1.024872833827422, 110.9561378221247, 0.9809978538684964, 1.0058175266671718]
02395479,93057,390392,630,7;[52114.86, 858, 0.8839532184271792, 0.9776677302917248, 161.28977686948545, 0.9745665915695045, 0.9979199015615386]
