02241304,93055,390376,435,4;[59994, 1204, 0.7281958231324771, 1.2568089406812812, 1586.6523329408433, 0.7205030858125852, 0.9449659778225806]
02241304,93055,390376,435,6;[52010.68000000001, 986, 0.6732382720898997, 1.4399485988649197, 2631.7977493004605, 0.6035373333887274, 0.9922375264629779]
02241304,93055,390376,435,7;[48877.38, 840, 0.6666489868382699, 1.4866093037642414, 3118.779359067891, 0.5831128837165545, 0.9943351593625498]
02241304,93055,390376,436,5;[50554.77, 954, 0.7590238390351833, 1.5598653764244803, 767.0921270566645, 0.6362454334294269, 0.9955592008905032]
02241304,93068,390445,91,4;[52412, 1128, 0.7500048814790052, 1.5728259671218323, 883.8953575307052, 0.6735965205086308, 9999]
02241304,93068,390445,91,5;[50652.35, 950, 0.7725004268238903, 1.532200838182213, 811.8089063094098, 0.7096545563102412, 0.9923299295938826]
02241304,93068,390445,91,6;[52576.490000000005, 972, 0.7051374603528083, 1.5931072018243737, 1586.0608407372033, 0.5370312667049016, 0.9800051072522983]
02241304,93068,390445,91,7;[48946.23, 880, 0.7453250799596117, 1.3750263746465798, 940.8080325991979, 0.5491516261581347, 0.9903107974244676]
02241304,93081,390536,212,4;[51200, 1100, 0.7577189558167875, 1.602254013985876, 884.9974919329002, 0.6657079233540147, 9999]
02241304,93081,390536,212,5;[53878.439999999995, 974, 0.6929850737883929, 1.423624058866957, 2347.036250523406, 0.5568337172281226, 0.997730227638335]
02241304,93081,390536,212,6;[52714.86, 1012, 0.710830490541276, 1.3560294425163122, 2102.6011763043866, 0.6059017973526456, 0.9884148064424979]
02241304,93081,390536,212,7;[50243.67, 890, 0.7333333333333333, 1.8166666666666667, 2426.934197192236, 0.5085789968519241, 0.9934053301872523]
02241304,93081,390536,213,4;[58179, 1190, 0.7276639525305395, 1.2245432620367935, 1774.3380067076052, 0.6835077444239156, 0.9420785024936849]
02241304,93081,390536,213,5;[50669.009999999995, 970, 0.7783429238609412, 1.5581481521650333, 855.5022912851801, 0.6916532312366515, 0.9928646379853096]
02241304,93081,390536,213,6;[52401.130000000005, 978, 0.7155341563869856, 1.669741460509693, 1528.6293704091233, 0.5194644064564922, 0.986040396488831]
02241304,93081,390536,213,7;[46977.12, 810, 0.7738165868314483, 1.4320063127002756, 692.0671016133017, 0.6046967283418989, 0.994300518134715]
02241304,93084,390560,435,4;[66416, 1176, 0.7232001052087412, 1.130789086435348, 1859.6054458954973, 0.7289468043287463, 0.9883406870586835]
02241304,93084,390560,435,5;[54219.97, 1096, 0.7095811630592375, 1.3156421937377114, 1675.0523196496192, 0.609055388726907, 0.9895534705933455]
02241304,93084,390560,435,6;[53293.00000000001, 996, 0.696829582712588, 1.536064652396335, 2361.689776652606, 0.5750691108221317, 0.9884511301121854]
02241304,93084,390560,435,7;[50131.98, 906, 0.6837163123887271, 1.2080631941992663, 2613.049630375097, 0.5856000799552464, 0.9908373401070489]
02241304,93084,390560,437,4;[60640, 1222, 0.7348787246149586, 1.2545670886989355, 1589.9562411518234, 0.70874945672085, 9999]
02241304,93084,390560,437,5;[54145.0, 1054, 0.7448378538067585, 1.628655152047599, 1039.8992931883536, 0.6275057917392289, 0.9902175214093734]
02241304,93084,390560,437,6;[50747.54, 980, 0.7477365080489371, 1.418010874812959, 1136.9415121954773, 0.6053976650648244, 0.989660423735606]
02241304,93084,390560,437,7;[48176.64, 864, 0.7537476871377463, 1.4652915016289734, 872.467578761676, 0.6081043689599208, 0.9900952740307518]
02241304,93093,390604,815,4;[50977, 1092, 0.7651048592066553, 1.6155948763778911, 736.6731051838227, 0.6987748604970301, 0.9913268381852478]
02241304,93093,390604,815,5;[53828.46, 1068, 0.7028452151156684, 1.2314228782554193, 1944.6720312426805, 0.6076953939409221, 0.9875125529406628]
02241304,93093,390604,815,6;[49835.12, 880, 0.782853741950633, 1.5834527166767796, 699.8866244322219, 0.711900699339179, 0.9959069691037769]
02241304,93093,390604,815,7;[48855.96, 868, 0.697255094435782, 1.1882229312147214, 2304.1055496566514, 0.5676445849166689, 0.9919542729334286]
02241304,93093,390604,816,4;[60408, 1214, 0.7321623999596656, 1.1948732579492929, 1376.1249123141217, 0.7157316762179182, 0.9444283760015634]
02241304,93093,390604,816,5;[52858.61, 1046, 0.7363450754850472, 1.523611355490439, 1023.9246697756041, 0.6045689148700455, 0.9916726201107341]
02241304,93093,390604,816,7;[48938.58, 868, 0.6826268069594567, 1.3142727567213794, 2822.99671769292, 0.5985358284457941, 0.989436238496636]
02241304,93093,390604,817,6;[51005.100000000006, 952, 0.7553783494235476, 1.6294851021572674, 912.4191126237673, 0.634834095233209, 0.989422770277453]
02241304,93095,390615,800,4;[52906, 1174, 0.6930461901639586, 1.2344090160486785, 2038.1230444070131, 0.6342738360895074, 0.988555359361716]
02241304,93095,390615,800,5;[53479.79, 1096, 0.7276063861066336, 1.1754428913575041, 1737.5474932624047, 0.640024101779987, 0.9907955509992614]
02241304,93095,390615,800,6;[53262.86, 1014, 0.7059299265970265, 1.3006932241712388, 1945.3970302319394, 0.6116851068975793, 0.98717720844019]
02241304,93095,390615,800,7;[48009.87, 900, 0.7373914292171994, 1.0692410212153813, 1101.485220446953, 0.6539200512309249, 0.9887042142575817]
02241304,93096,390617,877,4;[51534, 1104, 0.7509321549296016, 1.5277967630689226, 874.4501090697443, 0.624792875716638, 0.9768645328834507]
02241304,93096,390617,877,5;[52080.35, 1014, 0.7519627423785624, 1.5723064691200237, 911.8535566346584, 0.5901079114078548, 0.9895091455832147]
02241304,93096,390617,877,6;[50922.9, 978, 0.7588324073401781, 1.342385431766201, 1085.2280600738975, 0.6226907740638521, 0.9863340851797797]
02241304,93096,390617,877,7;[47867.58, 870, 0.74833239596685, 1.4318123700565915, 937.6454387344719, 0.5416121126087587, 0.9904237301549614]
02241304,93103,390674,1479,4;[51233, 1102, 0.745341616835317, 1.5127935056977142, 883.3622951088805, 0.6154671242780878, 0.9815973253374463]
02241304,93103,390674,1479,5;[50926.049999999996, 1018, 0.7509963368197081, 1.5937212617400973, 945.9583592821042, 0.6382025163651471, 0.9855943621100632]
02241304,93103,390674,1479,7;[49403.700000000004, 872, 0.6762616199210603, 1.415267008081135, 2981.3937945278963, 0.577695361944092, 0.9894436868957698]
02241304,93103,390674,1480,6;[48965.170000000006, 866, 0.7722190081129021, 1.586773141470431, 668.7843598576261, 0.6564482465202144, 0.9912773363287154]
02241304,93103,390674,1481,4;[60684, 1196, 0.7178625491033117, 1.28482142147155, 1697.9773871030322, 0.7360962808017634, 0.9535212595455831]
02241304,93103,390674,1481,5;[51418.71, 1000, 0.7420594458153711, 1.5593775160706753, 893.9366007642885, 0.602043091282832, 0.9856629597946963]
02241304,93103,390674,1481,6;[51364.04, 964, 0.7476567664599378, 1.6578694033669925, 1098.8417936211613, 0.6218764775373558, 0.9914453068186325]
02241304,93103,390674,1481,7;[47301.48, 846, 0.768669760618141, 1.3802468946255968, 781.8488917463538, 0.5932404632364789, 0.989517819706499]
02241304,93114,390741,1987,4;[65268, 1186, 0.7219350317008015, 1.1152511845201336, 1737.6329629572865, 0.7219879151987723, 0.9870844802032607]
02241304,93114,390741,1987,5;[52043.46, 1014, 0.7519235718073279, 1.5643044807164945, 948.2459528465909, 0.5983798226853256, 0.9885847329279595]
02241304,93114,390741,1987,6;[53045.030000000006, 1020, 0.7306306724387841, 1.2433373715371163, 1750.8855088984797, 0.6201928244200672, 0.9893069306930693]
02241304,93114,390741,1987,7;[49402.17, 868, 0.6775555444925369, 1.3816051713593307, 2974.8141733786197, 0.5799171631398294, 0.988398432717032]
02241304,93120,390781,335,4;[68119, 1236, 0.7367272045440798, 1.1764695255974822, 1639.0703950218738, 0.7312929039406367, 0.9126706593244638]
02241304,93120,390781,335,5;[54159.28, 986, 0.718313099636612, 1.6306022417530515, 1304.899108702801, 0.5766732222030718, 0.9966822516889857]
02241304,93120,390781,335,7;[51386.58, 912, 0.7419354838709677, 1.8064516129032258, 2601.6720348559497, 0.522202049692339, 0.9923034878052384]
02241304,93120,390781,336,6;[54278.030000000006, 982, 0.6918275358737872, 1.2835892356689873, 2274.447218262734, 0.5989266240109113, 0.9878571784770358]
02241304,93125,390819,1820,4;[51407, 1112, 0.7385832505213585, 1.5923379810455283, 988.7479445811748, 0.6125081097405686, 0.9814335761127922]
02241304,93125,390819,1820,5;[51405.619999999995, 1018, 0.7506269545909544, 1.6128536016416688, 957.7415297030237, 0.6600113285485226, 0.9899283872815812]
02241304,93125,390819,1820,6;[52013.420000000006, 978, 0.7257272305394765, 1.6713122046082791, 1369.5956737667964, 0.5479001843429478, 0.9851575068763299]
02241304,93125,390819,1820,7;[46461.51, 840, 0.7654515550765759, 1.4475666258684468, 809.5485277923316, 0.6263476077653128, 0.9887988017322783]
02241304,93134,390879,756,4;[53992, 1096, 0.6878556126597836, 1.6433617862014476, 2404.8387715702424, 0.5918535184754059, 0.9905334996697732]
02241304,93134,390879,756,5;[54917.31, 1082, 0.7267468985161718, 1.3111585153186087, 1874.2727473308573, 0.6121717662388911, 0.9873238984628221]
02241304,93134,390879,756,6;[54149.25000000001, 984, 0.695125450954634, 1.471517711838728, 2734.8068695122593, 0.5791913535975153, 0.9882114685034941]
02241304,93134,390879,756,7;[50196.24, 912, 0.7073023061903964, 1.2973833465513709, 2088.446096289215, 0.5472013780253456, 0.9909387459224357]
02241304,93134,390880,757,4;[54948, 1064, 0.6925641494431024, 1.6480306203156434, 2616.515499920877, 0.5765448176523975, 0.9927819684719273]
02241304,93134,390880,757,5;[52922.869999999995, 1000, 0.7568856013413077, 1.4520650810929134, 899.0917611257926, 0.6213968515866568, 0.9886404054775031]
02241304,93134,390880,757,6;[54320.50000000001, 942, 0.6935691763652964, 1.6853254474428163, 2872.3582825642616, 0.5493702998191716, 0.9888520338179914]
02241304,93134,390880,757,7;[50766.93, 848, 0.6710456969631585, 1.6184210787592725, 3439.6409516889953, 0.5418222391202727, 0.9953951611693591]
02241304,93134,390880,759,4;[50699, 1092, 0.7376692956676698, 1.5849314520566489, 977.1817207580335, 0.6014645757070749, 0.9783391063554702]
02241304,93134,390880,759,5;[52830.049999999996, 958, 0.7644443401315911, 1.4958379648281224, 929.2927571346752, 0.6178301583771794, 0.9918564773958601]
02241304,93134,390880,759,6;[54252.00000000001, 1012, 0.7065512043489038, 1.418727137391596, 2489.3723181379496, 0.5837154720449044, 0.9898762654668166]
02241304,93134,390880,760,7;[50534.37, 934, 0.7417891452178494, 1.5201313118489437, 1492.250368559003, 0.5346918576156069, 0.9939811610340366]
02241304,93140,390930,109,4;[66125, 1190, 0.7339359187095091, 1.1755921573002106, 1685.6071665362322, 0.7544913653805498, 0.9867193911810789]
02241304,93140,390930,109,5;[52667.02, 1050, 0.7588250935545833, 1.5860514636261642, 905.6546571571998, 0.6661191435222125, 0.9837078526816474]
02241304,93140,390930,109,6;[53909.50000000001, 992, 0.7073137964594827, 1.4870886409116795, 2416.288770634978, 0.5903970996839667, 0.9942894683646655]
02241304,93140,390930,109,7;[48158.28, 832, 0.762664750484779, 1.364533880604448, 807.2718680832988, 0.6558223093714133, 0.9929180927745619]
02241304,93140,390930,111,5;[53522.63, 1064, 0.7350043765882136, 1.6328277761142358, 1081.2467141259776, 0.6266932385563556, 0.9867380406524577]
02241304,93140,390930,111,6;[54154.73, 988, 0.6978434304254718, 1.5478246756179828, 2812.460495446596, 0.5889171012083974, 0.9930412500628046]
02241304,93140,390930,111,7;[50387.49, 926, 0.7474642652617715, 1.5375886151601657, 1269.118539704221, 0.558771214805751, 0.9911965207446088]
02241304,93140,390930,112,4;[54335, 1122, 0.6969115044721493, 1.3877153022133595, 2548.3778045281806, 0.6432487267573547, 0.9888979888979889]
02241304,93162,391018,1,4;[50912, 1086, 0.7467756880902008, 1.5824739066519062, 850.2819801700775, 0.630414974258431, 9999]
02241304,93162,391018,1,5;[52549.21, 1044, 0.7634074067469886, 1.3370194685860206, 1120.6947966674115, 0.6314296888590023, 0.9900122184981336]
02241304,93162,391018,1,6;[50526.97, 888, 0.7701441703114132, 1.6089635799449544, 833.9797978413682, 0.6841110009418678, 0.9936551129551547]
02241304,93162,391018,1,7;[50424.21, 900, 0.715119119822264, 1.4299748311034572, 2162.364552398084, 0.5178715611925053, 0.9927704310630479]
02241304,93216,391229,5,4;[51939, 1134, 0.7390041688715727, 1.5467599544736788, 1175.9953351648721, 0.5876775105309803, 0.9828183245974228]
02241304,93216,391229,5,5;[54412.75, 974, 0.6976839909515483, 1.6762552490515652, 2503.352434439058, 0.6063921145661517, 0.999377096834122]
02241304,93216,391229,5,7;[49279.770000000004, 810, 0.6949299372585019, 1.4572915556221295, 3214.5248344950846, 0.5977610524262711, 0.9989919823829536]
02241304,93216,391229,6,6;[53498.50000000001, 904, 0.6703311184683807, 1.7855486755991938, 2886.4690775714075, 0.5405678278630544, 0.9959194083142056]
02241304,93217,391236,73,4;[51023, 1126, 0.7628043519072432, 1.3389847157851706, 1063.0839473077135, 0.683079484192452, 0.9886453913077177]
02241304,93217,391236,73,5;[53686.85, 976, 0.7325950099056627, 1.526346816887917, 1302.1143431218513, 0.5694153647751662, 0.9904391828849299]
02241304,93217,391236,73,6;[52855.97, 898, 0.6719118317242424, 1.740667871747663, 3020.7201694245978, 0.5683565343636892, 0.999067768081415]
02241304,93217,391236,73,7;[49998.87, 822, 0.6851593730233478, 1.662246357899038, 2775.439248940806, 0.5557451563575695, 0.9973752479780253]
02241304,93218,391250,139,4;[51803, 1098, 0.7471327594148895, 1.5994228800976142, 964.912701994477, 0.6478958141362836, 9999]
02241304,93218,391250,139,5;[54655.509999999995, 1042, 0.7108859149911108, 1.4236648815494615, 2111.4279053097603, 0.6272137381696492, 0.9904788604824187]
