00648035,93032,390304,52,1;[38885, 984, 0.8834390272828753, 1.277794835122003, 1228.1343661377598, 0.8530700652681927, 0.999820014398848]
00648035,93032,390304,52,2;[34302.939999999995, 854, 0.8483917785422359, 1.8694155708819944, 1149.4298541233582, 0.8852780309888164, 1.0025039994435556]
00648035,93032,390304,52,3;[35070.630000000005, 836, 0.7959966760690422, 1.548389176164408, 1219.5343216597464, 0.8588332650080807, 0.994155226315074]
00648035,93032,390304,54,1;[37121, 994, 0.8837261427580594, 1.377029846094804, 859.7488585498702, 0.8933673608841407, 0.9946544124542812]
00648035,93032,390304,54,2;[23882.11, 664, 0.8357938224814397, 1.5517641048577526, 806.3154190483814, 0.9365419621339737, 1.0033998300084996]
00648035,93032,390304,57,3;[37688.700000000004, 768, 0.8357799683478033, 1.24557853057159, 548.6210199222571, 0.7245914524883295, 1.0047479912344777]
00648035,93069,390449,219,1;[35831, 918, 0.8410580668344017, 1.6649544064111113, 726.9251388842154, 0.9510984595846109, 1.0022096665920788]
00648035,93069,390449,219,2;[37431.45, 942, 0.8277299393015736, 1.050199294461998, 1921.6865334716638, 0.8064584978679208, 0.9892131580602553]
00648035,93069,390449,219,3;[38321.64, 866, 0.8310003378619849, 1.113877994080337, 895.4105648245929, 0.7568649758139588, 1.0036778557204111]
00648035,93069,390449,222,1;[20544, 630, 0.934481518333094, 1.958507798435394, 837.4920386218647, 0.9233340951910411, 1.0055062036561193]
00648035,93069,390449,222,3;[42391.91, 862, 0.8275144684327431, 1.464944186680007, 930.6146496555228, 0.6550949777180137, 1.0010838091848784]
00648035,93069,390449,223,2;[21541.379999999997, 624, 0.8408762234147847, 1.3872243762180054, 1182.5047638441017, 0.8660886291163595, 0.9990341896851458]
00648035,93071,390464,400,1;[38050, 964, 0.8788688852105991, 1.4492269164808542, 395.5584921654224, 0.9214571470710358, 1.0023181075812655]
00648035,93071,390464,400,2;[41307.28, 956, 0.8534785898813535, 1.1650517116141703, 1681.2197042023436, 0.8204324423231294, 0.9987915060136963]
00648035,93071,390464,400,3;[42437.12, 882, 0.8444405740442819, 1.1667445753050592, 688.1955465206257, 0.7135918584769504, 1.000694567833433]
00648035,93074,390483,634,3;[40436.920000000006, 894, 0.8280099311863739, 1.1572101775761685, 837.0803903272044, 0.7043795738718767, 1.0024963912711218]
00648035,93074,390483,635,1;[20567, 642, 0.9024047155369451, 1.7392284124521755, 933.5889518085755, 0.9040281365417988, 1.008557067549344]
00648035,93074,390483,636,2;[38401.299999999996, 946, 0.8412050280106919, 1.5201127393798686, 1931.6773964916747, 0.7049058104405737, 0.9946522415892244]
00648035,93074,390483,637,2;[35182.35, 826, 0.8567457101291609, 1.4340661466999123, 1228.5616013173278, 0.8519308907654902, 0.9991888877623442]
00648035,93074,390483,637,3;[34710.32, 788, 0.8529612636143371, 1.8452833781640254, 877.5055059792321, 0.9306618055496466, 0.9943289966837385]
