02272113,93025,390246,148,2;[25868.219999999998, 642, 0.9433787080828291, 0.9883687404959132, 190.74592628519278, 0.9848573630746569, 1.0030916893544368]
02272113,93025,390246,148,3;[34826.770000000004, 740, 0.8889293173571434, 0.9257937259421487, 151.5481527571747, 0.9584797509322545, 9999]
02272113,93025,390246,149,1;[29387, 756, 0.9916205811623303, 1.0147627017901224, 73.56862150033926, 0.9945242725273201, 1.0004425682576428]
02272113,93026,390257,210,3;[33930.79, 672, 0.9165038229045838, 1.0046319394289576, 139.39316655843896, 0.9667315699344728, 1.0002423165461816]
02272113,93026,390257,211,1;[24449, 720, 0.9291382914222774, 0.9654252490148039, 70.46478824301133, 0.9932415088566445, 0.993357034027425]
02272113,93026,390257,212,2;[35955.85, 816, 0.9461913625812406, 0.9747009112009011, 184.57906715211686, 0.9679867643862339, 9999]
02272113,93026,390259,208,1;[28850, 790, 0.9794890735612808, 0.8220019578692523, 88.69063497286665, 0.9936064524589209, 0.9956000345095333]
02272113,93026,390259,208,2;[34768.229999999996, 754, 0.9616695674688217, 0.9867983601020374, 160.5253685021729, 0.9819473578810791, 9999]
02272113,93026,390259,208,3;[35245.990000000005, 722, 0.9117734408016653, 0.9972756538130773, 104.79539404262533, 0.9771536590976619, 0.9995726163649079]
02272113,93026,390260,206,2;[26006.26, 702, 0.9790241094746429, 1.0098551533122033, 181.2967697626074, 0.9861281611550138, 0.9973985669298526]
02272113,93026,390260,207,1;[26513, 714, 0.9769814223084726, 0.9843235382858799, 54.48200042706316, 0.9951050258783596, 9999]
02272113,93026,390260,207,3;[25960.13, 660, 0.8949026532882308, 0.9828666888723752, 171.19147888994684, 0.9813875878134495, 9999]
02272113,93027,390262,290,2;[25339.86, 678, 0.9573375362685316, 1.0847709889107835, 188.87955306578377, 0.9831063940732084, 0.9973536919510082]
02272113,93027,390262,290,3;[25172.38, 640, 0.906085925206993, 1.0641329493119993, 141.51630763672213, 0.9753059458607111, 0.9943178743438498]
02272113,93027,390262,292,1;[33572, 826, 0.9738382586804107, 0.9878415284368465, 63.99572255364366, 0.9927608643720289, 9999]
02272113,93027,390263,293,1;[36199, 828, 0.9964090113034755, 1.009701723784051, 79.19075081332333, 0.9925824757765931, 1.000663441603317]
