80018540,93032,390303,84,1;[101780, 1498, 0.6796743707840921, 1.1528635504087632, 657.4801256316379, 0.8423497800344038, 1.0031193483370868]
80018540,93032,390303,84,2;[86096.5, 1296, 0.598830165620538, 1.3007983316702065, 1989.4664129666867, 0.7837983368580548, 1.004805288595078]
80018540,93032,390303,84,3;[100801.86, 1290, 0.5931691759994923, 1.258004019060412, 1606.6796066089883, 0.7274648316016079, 1.0029511392215262]
80018540,93032,390307,86,1;[103670, 1490, 0.6605368528287155, 1.066941427897955, 899.4049298886852, 0.8336200644811662, 1.0043888119205169]
80018540,93032,390307,86,2;[79437.26, 1294, 0.6127948045430802, 1.2443750573543417, 1337.0989137168483, 0.8332917791982024, 1.0059600503326627]
80018540,93032,390307,86,3;[98405.73000000001, 1188, 0.5860265384959764, 1.0996206667426824, 1790.9929593625222, 0.7707553895794244, 1.0088555236416497]
80018540,93049,390355,841,1;[107201, 1576, 0.6808915805712052, 1.153551962116073, 678.8089860035499, 0.845043784493053, 1.0076939346227058]
80018540,93049,390355,841,2;[77954.51999999999, 1190, 0.6408363510554037, 1.2522270072822832, 948.5093088384153, 0.8535614387365121, 1.0104269496544915]
80018540,93049,390355,841,3;[92769.55, 1206, 0.6356467775623518, 1.219375455398355, 991.8835018960798, 0.8437736723265389, 1.0025316830510482]
80018540,93055,390379,497,1;[90918, 1410, 0.7009851830902316, 1.2058212204193735, 467.6310416289207, 0.9167228158157417, 1.0057467767717385]
80018540,93055,390379,497,2;[105129.36, 1368, 0.591209137651917, 1.222801868678233, 1601.8799931382105, 0.7698020128314008, 1.0050912152361016]
80018540,93055,390379,498,3;[102781.51000000001, 1322, 0.5935479348187915, 0.9169652930710762, 1713.8736624000558, 0.8111627787399022, 1.0052659788288891]
80018540,93056,390384,597,1;[102485, 1418, 0.6682630142415741, 1.1626051979724423, 706.3109326897762, 0.8316638153133044, 1.0097342778604295]
80018540,93056,390384,597,2;[78109.22, 1206, 0.6325816361271303, 1.278281420146259, 1042.8841979929769, 0.8502614068273038, 1.0060311597146119]
80018540,93056,390384,597,3;[106677.79000000001, 1336, 0.5654201432340077, 0.9022604108656119, 2471.704772465231, 0.7666244223373694, 1.0044244363035963]
80018540,93056,390384,600,2;[83067.95, 1238, 0.6056735611958277, 1.1939152434889886, 1851.587244717228, 0.7962013341352331, 1.007767046356851]
