80044745,93128,390837,360,4;[60423, 1090, 0.6724634745070439, 1.5264119416007378, 1896.2312924688663, 0.6497933985456446, 0.9922815430345031]
80044745,93128,390837,360,5;[34844.39, 750, 0.7008400835260792, 1.4477964202987876, 1372.821724343676, 0.8398414235804563, 0.9902768148536449]
80044745,93128,390837,360,6;[57272.850000000006, 894, 0.7036319332997244, 1.3138038552714852, 1396.4845959079403, 0.7152210392616603, 1.00329993400132]
80044745,93128,390837,360,7;[27446.670000000002, 600, 0.6987137394087427, 1.431953231450168, 1410.8423956451215, 0.8637011080246039, 1.0023467620271553]
80044745,93131,390856,580,4;[62341, 1092, 0.7002330318735951, 1.2392959370509258, 1401.2343399124497, 0.7119231824871416, 0.9887471154074908]
80044745,93131,390856,580,5;[42866.18, 822, 0.6981012989953053, 1.30370261428613, 1609.6542287285881, 0.7613707546760478, 0.9990293146961755]
80044745,93131,390856,580,6;[59571.71000000001, 920, 0.6874468472250637, 1.4973174920102592, 1515.2943006077269, 0.6114965771180689, 1.0030564814708018]
80044745,93131,390856,580,7;[26084.97, 628, 0.6789482974032107, 1.0612678925443155, 2238.679061687596, 0.7069157566213603, 0.9728665582470256]
80044745,93131,390856,581,4;[60416, 1082, 0.6611143538271157, 1.656681840400039, 2055.4140118777423, 0.6667244456020447, 0.9911330210888092]
80044745,93131,390856,581,5;[44533.369999999995, 834, 0.7004420889395649, 1.3052915950081236, 1569.8364356914458, 0.7708036152828949, 1.0018471917331477]
80044745,93131,390856,581,6;[58757.93000000001, 906, 0.6748348587290749, 1.7814885606064286, 1973.4989328659392, 0.6751344334867626, 1.0027471564008743]
80044745,93131,390856,581,7;[49630.14, 774, 0.7116452346678198, 1.3587339818724284, 1476.154570168776, 0.7396523799856121, 1.0041947217707607]
80044745,93173,391087,722,4;[28317, 784, 0.6858589884362649, 1.1391509079789055, 1895.752033368579, 0.7556580338615844, 1.004843774950764]
80044745,93173,391087,722,5;[28191.1, 718, 0.6652245334363311, 1.766930272818401, 1914.5691557614778, 0.8006346417088918, 1.0037072344031353]
80044745,93173,391087,722,6;[28964.54, 678, 0.6700692186824236, 0.9628981961011351, 2061.208353198747, 0.7231096147332949, 1.002513158518659]
80044745,93173,391087,722,7;[40921.38, 702, 0.7231966192805239, 1.4079395380027724, 1305.8867562322162, 0.7996300079807397, 1.0044125654843494]
80044745,93173,391087,723,4;[29301, 782, 0.7061576638928256, 1.4467946417991528, 1337.034787854905, 0.8634341881707855, 0.9628668134468141]
80044745,93173,391087,723,5;[60769.729999999996, 988, 0.6741554338218305, 1.5440399635495161, 1869.447187360234, 0.6224486227253231, 1.00273918806146]
80044745,93173,391087,723,6;[51243.48, 838, 0.7015059115242592, 1.3331019846418688, 1385.6647865920447, 0.7640370019770553, 1.0029764298930095]
80044745,93173,391087,723,7;[44570.43, 734, 0.7102824649925297, 1.3102750887214405, 1428.3314419174717, 0.7735035911545664, 1.003859540301182]
80044745,93218,391249,138,4;[49269, 958, 0.709386117539462, 1.3212059375638938, 1460.836623144551, 0.7755432055146676, 1.0012701573979048]
80044745,93218,391249,138,5;[60800.67, 994, 0.6821232272173531, 1.616337440944916, 1865.4982756044556, 0.5974816608478885, 1.0020789613038619]
80044745,93218,391249,138,6;[28726.160000000003, 680, 0.6699337845997897, 1.0143815871535218, 2137.868323660676, 0.7459353572316711, 1.0030376234781986]
80044745,93218,391249,138,7;[42835.41, 716, 0.6697957673653872, 1.5327487114065044, 1989.5112491227592, 0.7313000809010354, 1.0037465268441337]
80044745,93219,391257,200,4;[30142, 816, 0.680321906130332, 1.646415625424632, 1782.3004662362398, 0.8230391692196272, 0.9999004810084591]
80044745,93219,391257,200,5;[59411.939999999995, 980, 0.7037375477337795, 1.4257572408672925, 1295.0456377554474, 0.6700147093130495, 1.004618031450907]
80044745,93219,391257,200,6;[28690.54, 672, 0.6893699185640827, 1.604462101587313, 1516.6521348310853, 0.8468988283189247, 0.9676107748463707]
80044745,93219,391257,200,7;[26400.15, 588, 0.7076848851171746, 1.4938188440630855, 1471.6132287656076, 0.8552878497199993, 1.0033143388766135]
80044745,93340,391955,1,4;[49655, 960, 0.6968893323230737, 1.2741887563926688, 1546.090673708798, 0.7618652214644555, 1.002878061095683]
80044745,93340,391955,1,5;[45867.36, 844, 0.6993175215187271, 1.2573996484063796, 1578.5496748632045, 0.7509338147396628, 1.0028620492272466]
80044745,93340,391955,1,6;[27410.960000000003, 662, 0.6792595088789831, 0.9536763010159449, 2108.024387257116, 0.7285079230277612, 1.0032592889735747]
80044745,93340,391955,1,7;[48531.6, 768, 0.6480277370441215, 1.4174910721134082, 2447.4402435203197, 0.660350788824911, 1.0037339408898172]
80044745,93343,391978,250,4;[43257, 896, 0.6681907949493006, 1.4534621072886142, 1836.7158377072556, 0.7706007003312193, 1.0019224533283921]
80044745,93343,391978,250,5;[55251.7, 936, 0.702768896432343, 1.3139737305952321, 1295.5112228711612, 0.7438799848451242, 1.004119854237178]
80044745,93343,391978,250,6;[59222.36000000001, 912, 0.7102875812560084, 1.3895408680520625, 1330.5117111772315, 0.6665317741105091, 1.0060510147086204]
80044745,93343,391978,250,7;[38435.13, 680, 0.7112200561433192, 1.4166025591100322, 1397.5011236777782, 0.8050472282479788, 1.0035153597251627]
80044745,93343,391978,251,6;[58714.090000000004, 906, 0.6972677093664745, 1.3937492386619987, 1389.0460496772457, 0.6545473698673306, 1.0065054015969939]
80044745,93343,391978,252,4;[60182, 1082, 0.6804419033119188, 1.562912648274443, 1917.6903422154328, 0.6507563234990895, 0.9897704098414578]
80044745,93343,391978,252,5;[59799.88, 980, 0.6759850585509115, 1.7189106312346505, 1968.6021732699448, 0.6303238352634473, 1.0033443480517925]
80044745,93343,391978,252,7;[26219.61, 584, 0.7065599900786735, 1.4115301198881325, 1380.6847517520396, 0.8589140711747913, 1.0021051400502894]
80044745,93379,392066,104,4;[46428, 936, 0.6711153957831081, 1.412755812045017, 1781.9697187563797, 0.7716690112639929, 0.9977435368448198]
80044745,93379,392066,104,5;[52513.509999999995, 910, 0.663498401298855, 1.6774951921975887, 1841.8494083228434, 0.7371144594070879, 1.001986762485383]
80044745,93379,392066,104,6;[47449.950000000004, 810, 0.6744694437270502, 1.5706334476847166, 1850.0779735508904, 0.7565447917662459, 0.9991778095114457]
80044745,93379,392066,104,7;[34637.67, 652, 0.7244211872977453, 1.5004280457828367, 1334.5587387268986, 0.8424121627002196, 1.0040803654588193]
80044745,93379,392066,105,4;[45954, 930, 0.6581000747856691, 1.5196744151796011, 1905.441356101608, 0.7559996792791264, 0.9968437835551361]
80044745,93379,392066,105,5;[50738.03, 894, 0.6592530697002141, 1.6436039349859286, 1960.6271831967726, 0.7338010082804073, 1.0020446533490013]
80044745,93379,392066,105,6;[60182.73, 922, 0.68518630284808, 1.6877486637786778, 1914.5416747762904, 0.6202231121272809, 1.0028192806839324]
80044745,93379,392066,105,7;[26921.88, 600, 0.7032635598793688, 1.4650536675176578, 1402.145856871918, 0.8653170009300365, 1.0022498789622076]
00023892,93026,390259,210,4;[92611, 1418, 1.0160441936584983, 0.9304499353148526, 74.45688925008452, 0.9880816605513132, 0.9949399454244644]
00023892,93026,390259,210,5;[94888.22, 1378, 1.0014205542741594, 0.9214935775142608, 74.6538927008212, 0.9898794256868059, 0.9885570473958915]
00023892,93026,390259,211,6;[95338.3, 1286, 0.9940124245760389, 0.9461625478712523, 64.84368830459766, 0.9871449405213691, 9999]
00023892,93026,390259,211,7;[92165.67, 1228, 1.025457311970587, 0.9129974662194441, 96.16186030449495, 0.9897792446865475, 0.9926669303275987]
00023892,93026,390259,212,5;[96077.03, 1324, 1.024863976416576, 0.9152186552580622, 123.85239814624725, 0.9837529135848878, 80737.0]
00023892,93026,390259,212,7;[92529.81, 1152, 1.0332821118120454, 0.9098564960488107, 124.19430960027086, 0.9869055025334524, 0.994548459508128]
00023892,93026,390259,213,4;[90619, 1400, 0.9987099010700802, 0.934555185539091, 60.12113214553628, 0.9906597384443807, 0.9921878849259573]
00023892,93026,390259,213,6;[95193.08, 1278, 0.989239541281801, 0.9351501072580485, 55.0984043912589, 0.989414745965852, 0.9943616016485876]
00023892,93026,390259,214,4;[100641, 1570, 1.0094269700037355, 0.8690844925864935, 86.1464904029383, 0.9922469789182753, 0.9511887378255384]
00023892,93026,390259,214,7;[89982.36, 1158, 1.008920090794288, 0.9329343800151616, 58.02976786039906, 0.9899631349538053, 0.9979637548360822]
